22/03/23 15:00
Estadístiques del projecte

               	Segments	Paraules	Caràcters (sense espais)	Caràcters (amb espais)	#Files	
Total:         	   10613	  166551	                  917671	               1054740	   115	
Restants:      	   10099	  161562	                  887994	               1021178	   115	
Únics:         	    9849	  164613	                  901869	               1037976	   114	
Únics restants:	    9591	  160362	                  879531	               1012013	   114	


Estadístiques per fitxer:

Nom de fitxer                                                        	Segments totals	Segments restants	Segments únics	Segments únics restants	Paraules totals	Paraules restants	Paraules úniques	Paraules úniques restants	Caràcters totals (sense espais)	Caràcters restants (sense espais)	Caràcters únics (sense espais)	Caràcters únics restants (sense espais)	Caràcters totals (amb espais)	Caràcters restants (amb espais)	Caràcters únics (amb espais)	Caràcters únics restants (amb espais)	
ch09-02-recoverable-errors-with-result.md                            	            209	              199	           199	                    199	           4037	             4007	            4007	                     4007	                          22660	                            22360	                         22360	                                  22360	                        26001	                          25691	                       25691	                                25691	
ch09-03-to-panic-or-not-to-panic.md                                  	             91	               91	            90	                     90	           2233	             2233	            2232	                     2232	                          11425	                            11425	                         11417	                                  11417	                        13339	                          13339	                       13330	                                13330	
ch10-00-generics.md                                                  	             53	               50	            50	                     50	            950	              941	             941	                      941	                           4896	                             4806	                          4806	                                   4806	                         5686	                           5593	                        5593	                                 5593	
ch10-01-syntax.md                                                    	            139	              130	           126	                    126	           2364	             2337	            2326	                     2326	                          13238	                            12968	                         12923	                                  12923	                        15168	                          14889	                       14839	                                14839	
ch10-02-traits.md                                                    	            153	              153	           148	                    148	           2721	             2721	            2709	                     2709	                          16051	                            16051	                         15925	                                  15925	                        18307	                          18307	                       18177	                                18177	
ch10-03-lifetime-syntax.md                                           	            250	              242	           239	                    239	           4745	             4721	            4709	                     4709	                          26045	                            25805	                         25733	                                  25733	                        29990	                          29742	                       29661	                                29661	
ch11-00-testing.md                                                   	             15	               15	            15	                     15	            346	              346	             346	                      346	                           1660	                             1660	                          1660	                                   1660	                         1959	                           1959	                        1959	                                 1959	
ch11-01-writing-tests.md                                             	            222	              222	           211	                    211	           3675	             3675	            3641	                     3641	                          20866	                            20866	                         20563	                                  20563	                        23805	                          23805	                       23490	                                23490	
ch11-02-running-tests.md                                             	             74	               74	            71	                     71	           1267	             1267	            1258	                     1258	                           6645	                             6645	                          6558	                                   6558	                         7693	                           7693	                        7603	                                 7603	
ch11-03-test-organization.md                                         	            111	              111	           105	                    105	           1923	             1923	            1903	                     1903	                          10698	                            10698	                         10481	                                  10481	                        12283	                          12283	                       12060	                                12060	
ch12-00-an-io-project.md                                             	             19	               19	            19	                     19	            353	              353	             353	                      353	                           2026	                             2026	                          2026	                                   2026	                         2326	                           2326	                        2326	                                 2326	
ch12-01-accepting-command-line-arguments.md                          	             56	               54	            54	                     54	            980	              974	             974	                      974	                           5289	                             5229	                          5229	                                   5229	                         6083	                           6021	                        6021	                                 6021	
ch12-02-reading-a-file.md                                            	             26	               25	            24	                     24	            382	              379	             378	                      378	                           1980	                             1950	                          1944	                                   1944	                         2274	                           2243	                        2237	                                 2237	
ch12-03-improving-error-handling-and-modularity.md                   	            222	              212	           206	                    206	           3852	             3822	            3813	                     3813	                          21571	                            21271	                         21200	                                  21200	                        24688	                          24378	                       24304	                                24304	
ch12-04-testing-the-librarys-functionality.md                        	            105	              105	            99	                     99	           1571	             1571	            1553	                     1553	                           8576	                             8576	                          8402	                                   8402	                         9812	                           9812	                        9632	                                 9632	
ch12-05-working-with-environment-variables.md                        	             85	               85	            79	                     79	           1419	             1419	            1403	                     1403	                           8143	                             8143	                          7992	                                   7992	                         9283	                           9283	                        9127	                                 9127	
ch12-06-writing-to-stderr-instead-of-stdout.md                       	             43	               42	            39	                     39	            682	              679	             669	                      669	                           3658	                             3628	                          3581	                                   3581	                         4238	                           4207	                        4152	                                 4152	
ch13-00-functional-features.md                                       	             11	               11	            11	                     11	            193	              193	             193	                      193	                           1056	                             1056	                          1056	                                   1056	                         1222	                           1222	                        1222	                                 1222	
ch13-01-closures.md                                                  	            183	              174	           167	                    167	           3160	             3133	            3124	                     3124	                          17581	                            17311	                         17217	                                  17217	                        20224	                          19945	                       19844	                                19844	
ch13-02-iterators.md                                                 	             98	               96	            93	                     93	           1593	             1587	            1578	                     1578	                           8813	                             8753	                          8666	                                   8666	                        10106	                          10044	                        9954	                                 9954	
